TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-09-18,2026-09-18,FO,NSE,IDO,76388,,BANKNIFTY,,2027-03-30,2027-03-30,49500.00,CE,BANKNIFTY27MAR49500CE,0.00,0.00,0.00,6266.75,0.00,6266.75,56358.70,8953.88,0,0,0,0.00,0,F1,30,,,,,
2026-09-18,2026-09-18,FO,NSE,IDO,62291,,BANKNIFTY,,2026-11-23,2026-11-23,59500.00,CE,BANKNIFTY26NOV59500CE,286.05,292.95,274.00,290.00,290.00,282.85,56358.70,932.02,1350,450,15,26902863.00,9,F1,30,,,,,
2026-09-18,2026-09-18,FO,NSE,IDO,62267,,BANKNIFTY,,2026-11-23,2026-11-23,58600.00,CE,BANKNIFTY26NOV58600CE,0.00,0.00,0.00,2196.40,0.00,2196.40,56358.70,1218.33,0,0,0,0.00,0,F1,30,,,,,
2026-09-18,2026-09-18,FO,NSE,IDO,62075,,BANKNIFTY,,2026-11-23,2026-11-23,51900.00,CE,BANKNIFTY26NOV51900CE,0.00,0.00,0.00,6707.25,0.00,6707.25,56358.70,5343.23,0,0,0,0.00,0,F1,30,,,,,
2026-09-18,2026-09-18,FO,NSE,IDO,62270,,BANKNIFTY,,2026-11-23,2026-11-23,58700.00,PE,BANKNIFTY26NOV58700PE,0.00,0.00,0.00,2464.70,0.00,2464.70,56358.70,2857.90,0,0,0,0.00,0,F1,30,,,,,
2026-09-18,2026-09-18,FO,NSE,IDO,52284,,BANKNIFTY,,2026-09-29,2026-09-29,52500.00,CE,BANKNIFTY26SEP52500CE,0.00,0.00,0.00,5000.00,5000.00,5000.00,56358.70,3963.30,360,0,0,0.00,0,F1,30,,,,,
2026-09-18,2026-09-18,FO,NSE,IDF,61466,,BANKNIFTY,,2026-11-23,2026-11-23,,,BANKNIFTY26NOVFUT,56950.80,57236.20,56884.80,57105.20,57077.80,56915.40,56358.70,57105.20,60990,6990,512,876380784.00,454,F1,30,,,,,
2026-09-18,2026-09-18,FO,NSE,IDO,69536,,BANKNIFTY,,2026-09-29,2026-09-29,48500.00,CE,BANKNIFTY26SEP48500CE,0.00,0.00,0.00,9874.25,0.00,9874.25,56358.70,7945.15,0,0,0,0.00,0,F1,30,,,,,
2026-09-18,2026-09-18,FO,NSE,IDO,69546,,BANKNIFTY,,2026-09-29,2026-09-29,49000.00,CE,BANKNIFTY26SEP49000CE,0.00,0.00,0.00,7600.00,7600.00,7600.00,56358.70,7446.05,2040,0,0,0.00,0,F1,30,,,,,
2026-09-18,2026-09-18,FO,NSE,IDO,62175,,BANKNIFTY,,2026-11-23,2026-11-23,55700.00,PE,BANKNIFTY26NOV55700PE,0.00,0.00,0.00,1167.25,0.00,1167.25,56358.70,1280.99,0,0,0,0.00,0,F1,30,,,,,
